concept_id	concept_level	exercise_id	exercise_level	exercise_type_id
2930	B	36845	B2	53
2931	B	36860	B1	39
2931	B	36865	B2	67
2932	B	36872	B1	46
2932	B	36878	B2	52
2933	B	36881	B1	37
2934	B	36886	B1	41
2934	B	36893	B2	65
2935	B	36905	B1	47
2935	B	36907	B2	66
2936	B	36911	B1	38
2936	B	36916	B2	56
2937	B	36925	B1	49
2937	B	36926	B2	51
2938	B	36943	B1	45
2938	B	36946	B2	65
2939	B	36950	B1	32
2939	B	36954	B2	59
2940	B	36962	B2	50
2942	B	36981	B1	42
2942	B	36987	B2	65
2943	B	36991	B1	31
2943	B	36999	B2	62
2945	B	37021	B1	46
2945	B	37026	B2	51
2947	B	37048	B1	44
2947	B	37053	B2	66
2949	B	37072	B1	42
2949	B	37078	B2	65
2950	B	37082	B1	34
2953	B	37112	B1	49
2953	B	37118	B2	60
2954	B	37124	B1	43
2956	B	37145	B1	48
2956	B	37147	B2	50
2957	B	37160	B1	49
2957	B	37162	B2	65
2958	B	37166	B1	42
2960	B	37187	B1	40
2960	B	37192	B2	62
2962	B	37214	B1	45
2962	B	37218	B2	66
2964	B	37242	B1	42
2964	B	37244	B2	67
2965	B	37251	B1	35
2965	B	37257	B2	66
2966	B	37267	B1	45
2968	B	37286	B2	62
2971	B	37315	B1	40
2976	B	37376	B1	39
2980	B	37422	B1	44
2981	B	37428	B1	34
2981	B	37435	B2	67
2982	B	37441	B1	34
2982	B	37446	B2	65
2984	B	37464	B1	38
2985	B	37467	B1	46
2989	B	37515	B1	46
2989	B	37518	B2	65
2990	B	37522	B1	31
2990	B	37527	B2	61
2991	B	37536	B1	32
2991	B	37545	B2	67
2992	B	37555	B1	42
2994	B	37574	B1	39
2996	B	37593	B1	49
2996	B	37596	B2	52
2997	B	37604	B1	33
2998	B	37616	B1	31
2998	B	37625	B2	63
2999	B	37635	B1	40
2999	B	37638	B2	66
3001	B	37655	B1	35
3002	B	37664	B1	46
3002	B	37667	B2	51
3003	B	37673	B1	38
3003	B	37679	B2	57
3004	B	37684	B1	36
3005	B	37687	B1	40
3006	B	37692	B1	35
3007	B	37710	B1	45
3007	B	37713	B2	62
